,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,click
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,1
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,1
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,1
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.19699999999999998,0.97600001,0
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,0
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,0
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,1
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,0
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.11599999999999999,0
51,ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,1
52,ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,1
53,ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,1
54,ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,1
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,1
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.06899999799999999,0
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,1
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,1
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,0
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,1
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,1
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,1
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,1
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,1
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,0
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,1
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,0
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,0
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,1
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,0
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,0
82,WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0
83,WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000003,0.26699999,0
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,0
